subject,predicate,object,date
240974013,rdf:type,university,2024-01-01
university,rdfs:subClassOf,amenity,2024-01-01
240974013,addr:city,Mannheim,2024-01-01
240974013,addr:place,B6,2024-01-01
240974013,addr:postcode,68159,2024-01-01
240974013,name,Universität Mannheim B6,2024-01-01
240974013,operator,Universität Mannheim,2024-01-01
240974013,operator:type,university,2024-01-01
240974013,geo:hasGeometry,geo240974013,2024-01-01
geo240974013,geo:asWKT,"POLYGON ((8.4574 49.487772, 8.457414 49.487788, 8.457734 49.488139, 8.458079 49.488005, 8.458257 49.488205, 8.458614 49.48807, 8.458376 49.487796, 8.458837 49.487618, 8.458942 49.48773, 8.459148 49.487648, 8.459394 49.487935, 8.460299 49.487579, 8.459567 49.486927, 8.4574 49.487772))",2024-01-01
881fae61b9fffff,geo:sfContains,240974013,2024-01-01
881fae61b9fffff,geo:ehCovers,240974013,2024-01-01
881fae61b9fffff,geo:sfIntersects,240974013,2024-01-01
881fae6183fffff,geo:hasGeometry,geoH3881fae6183fffff,2024-01-01
881fae61b9fffff,geo:hasGeometry,geoH3881fae61b9fffff,2024-01-01
881fae61bdfffff,geo:hasGeometry,geoH3881fae61bdfffff,2024-01-01
881fae6187fffff,geo:hasGeometry,geoH3881fae6187fffff,2024-01-01
881fae61b1fffff,geo:hasGeometry,geoH3881fae61b1fffff,2024-01-01
881fae6195fffff,geo:hasGeometry,geoH3881fae6195fffff,2024-01-01
881fae61bbfffff,geo:hasGeometry,geoH3881fae61bbfffff,2024-01-01
geoH3881fae6183fffff,geo:asWKT,"POLYGON ((8.451953748269542 49.494991703175444, 8.450179730045607 49.490537825577206, 8.45534769895961 49.48766614246025, 8.462290019891633 49.489248192226434, 8.464064874074635 49.49370210193634, 8.458896571404502 49.496573929790536, 8.451953748269542 49.494991703175444))",2024-01-01
geoH3881fae61b9fffff,geo:asWKT,"POLYGON ((8.45534769895961 49.48766614246025, 8.453573618101371 49.48321188442918, 8.458741022370063 49.48033964403026, 8.465682841117543 49.48192151694283, 8.4674577577429 49.48637580708582, 8.462290019891633 49.489248192226434, 8.45534769895961 49.48766614246025))",2024-01-01
geoH3881fae61bdfffff,geo:asWKT,"POLYGON ((8.446632404166037 49.48162934174043, 8.444859096422368 49.47717473559596, 8.450026166893121 49.47430263987038, 8.456966878943442 49.475885005638055, 8.458741022370063 49.48033964403026, 8.453573618101371 49.48321188442918, 8.446632404166037 49.48162934174043))",2024-01-01
geoH3881fae6187fffff,geo:asWKT,"POLYGON ((8.44323801420703 49.488955105972146, 8.441464769223616 49.48450088018856, 8.446632404166037 49.48162934174043, 8.453573618101371 49.48321188442918, 8.45534769895961 49.48766614246025, 8.450179730045607 49.490537825577206, 8.44323801420703 49.488955105972146))",2024-01-01
geoH3881fae61b1fffff,geo:asWKT,"POLYGON ((8.458741022370063 49.48033964403026, 8.456966878943442 49.475885005638055, 8.462133718651048 49.47301220802415, 8.469075035232306 49.4745939040784, 8.470850014234188 49.47904857458277, 8.465682841117543 49.48192151694283, 8.458741022370063 49.48033964403026))",2024-01-01
geoH3881fae6195fffff,geo:asWKT,"POLYGON ((8.464064874074635 49.49370210193634, 8.462290019891633 49.489248192226434, 8.4674577577429 49.48637580708582, 8.474400683182113 49.48795718686725, 8.476176373216258 49.49241112855327, 8.471008301998095 49.49528365850391, 8.464064874074635 49.49370210193634))",2024-01-01
geoH3881fae61bbfffff,geo:asWKT,"POLYGON ((8.4674577577429 49.48637580708582, 8.465682841117543 49.48192151694283, 8.470850014234188 49.47904857458277, 8.477792437207599 49.48062977757335, 8.479568189492165 49.485084099692735, 8.474400683182113 49.48795718686725, 8.4674577577429 49.48637580708582))",2024-01-01
881fae61b9fffff,hcf:isAdjacentTo,881fae6183fffff,2024-01-01
881fae6187fffff,hcf:isAdjacentTo,881fae6183fffff,2024-01-01
881fae6195fffff,hcf:isAdjacentTo,881fae6183fffff,2024-01-01
881fae61b1fffff,hcf:isAdjacentTo,881fae61b9fffff,2024-01-01
881fae61bdfffff,hcf:isAdjacentTo,881fae61b9fffff,2024-01-01
881fae61bbfffff,hcf:isAdjacentTo,881fae61b9fffff,2024-01-01
881fae6187fffff,hcf:isAdjacentTo,881fae61b9fffff,2024-01-01
881fae6195fffff,hcf:isAdjacentTo,881fae61b9fffff,2024-01-01
881fae6183fffff,hcf:isAdjacentTo,881fae61b9fffff,2024-01-01
881fae61b1fffff,hcf:isAdjacentTo,881fae61bdfffff,2024-01-01
881fae61b9fffff,hcf:isAdjacentTo,881fae61bdfffff,2024-01-01
881fae6187fffff,hcf:isAdjacentTo,881fae61bdfffff,2024-01-01
881fae61bdfffff,hcf:isAdjacentTo,881fae6187fffff,2024-01-01
881fae61b9fffff,hcf:isAdjacentTo,881fae6187fffff,2024-01-01
881fae6183fffff,hcf:isAdjacentTo,881fae6187fffff,2024-01-01
881fae61bdfffff,hcf:isAdjacentTo,881fae61b1fffff,2024-01-01
881fae61bbfffff,hcf:isAdjacentTo,881fae61b1fffff,2024-01-01
881fae61b9fffff,hcf:isAdjacentTo,881fae61b1fffff,2024-01-01
881fae61bbfffff,hcf:isAdjacentTo,881fae6195fffff,2024-01-01
881fae61b9fffff,hcf:isAdjacentTo,881fae6195fffff,2024-01-01
881fae6183fffff,hcf:isAdjacentTo,881fae6195fffff,2024-01-01
881fae61b1fffff,hcf:isAdjacentTo,881fae61bbfffff,2024-01-01
881fae61b9fffff,hcf:isAdjacentTo,881fae61bbfffff,2024-01-01
881fae6195fffff,hcf:isAdjacentTo,881fae61bbfffff,2024-01-01
